IDregistro,Fecha,Edad,Sexo,Turno,Area,Clasificación del accidente,Accidentes,DiasPerdidos,HorasHombre
42,2025-02-11,45,M,Matutino,Administración,Ninguno,0,0,160
43,2025-02-12,21,F,Nocturno,Seguridad,Leve,1,4,160
44,2025-02-13,39,M,Matutino,Mantenimiento,Parcial Permanente,1,16,160
45,2025-02-14,47,M,Vespertino,Mantenimiento,Ninguno,0,0,160
46,2025-02-15,26,F,Nocturno,Producción,Ninguno,0,0,160
47,2025-02-16,27,F,Matutino,Mantenimiento,Leve,1,2,160
48,2025-02-17,54,M,Vespertino,Administración,Leve,1,1,160
49,2025-02-18,33,F,Nocturno,Mantenimiento,Leve,1,1,160
50,2025-02-19,36,M,Nocturno,Seguridad,Ninguno,0,0,160
51,2025-02-20,55,M,Matutino,Mantenimiento,Ninguno,0,0,160
52,2025-02-21,59,F,Matutino,Producción,Ninguno,0,0,160
53,2025-02-22,23,F,Matutino,Mantenimiento,Ninguno,0,0,160
54,2025-02-23,21,F,Vespertino,Seguridad,Ninguno,0,0,160
55,2025-02-24,25,F,Matutino,Seguridad,Ninguno,0,0,160
56,2025-02-25,23,M,Nocturno,Administración,Leve,1,4,160
57,2025-02-26,48,M,Nocturno,Mantenimiento,Leve,1,1,160
58,2025-02-27,37,F,Matutino,Seguridad,Ninguno,0,0,160
59,2025-02-28,45,M,Matutino,Producción,Ninguno,0,0,160
60,2025-03-01,53,F,Nocturno,Administración,Ninguno,0,0,160
61,2025-03-02,29,F,Vespertino,Producción,Ninguno,0,0,160
62,2025-03-03,55,F,Matutino,Mantenimiento,Ninguno,0,0,160
63,2025-03-04,33,M,Matutino,Mantenimiento,Ninguno,0,0,160
64,2025-03-05,50,M,Nocturno,Mantenimiento,Ninguno,0,0,160
65,2025-03-06,34,M,Matutino,Administración,Ninguno,0,0,160
66,2025-03-07,27,M,Vespertino,Seguridad,Ninguno,0,0,160
67,2025-03-08,33,M,Nocturno,Administración,Ninguno,0,0,160
68,2025-03-09,42,M,Matutino,Producción,Leve,1,1,160
69,2025-03-10,59,M,Nocturno,Administración,Ninguno,0,0,160
70,2025-03-11,40,M,Matutino,Producción,Ninguno,0,0,160
71,2025-03-12,35,M,Matutino,Administración,Ninguno,0,0,160
72,2025-03-13,37,M,Matutino,Seguridad,Ninguno,0,0,160
73,2025-03-14,43,M,Vespertino,Producción,Ninguno,0,0,160
74,2025-03-15,45,F,Vespertino,Mantenimiento,Ninguno,0,0,160
75,2025-03-16,44,M,Nocturno,Mantenimiento,Incapacitante,1,13,160
76,2025-03-17,48,M,Matutino,Administración,Ninguno,0,0,160
77,2025-03-18,34,M,Matutino,Mantenimiento,Incapacitante,1,5,160
78,2025-03-19,20,F,Vespertino,Producción,Ninguno,0,0,160
79,2025-03-20,44,M,Matutino,Mantenimiento,Leve,1,1,160
80,2025-03-21,26,M,Vespertino,Seguridad,Ninguno,0,0,160
81,2025-03-22,28,M,Matutino,Seguridad,Ninguno,0,0,160
82,2025-03-23,43,M,Nocturno,Administración,Ninguno,0,0,160
83,2025-03-24,20,M,Matutino,Producción,Ninguno,0,0,160
84,2025-03-25,27,M,Matutino,Seguridad,Ninguno,0,0,160
85,2025-03-26,43,M,Vespertino,Seguridad,Ninguno,0,0,160
86,2025-03-27,30,F,Matutino,Producción,Ninguno,0,0,160
87,2025-03-28,36,F,Matutino,Mantenimiento,Ninguno,0,0,160
88,2025-03-29,27,M,Vespertino,Mantenimiento,Leve,1,4,160
89,2025-03-30,54,M,Nocturno,Administración,Leve,1,4,160
90,2025-03-31,54,F,Nocturno,Mantenimiento,Ninguno,0,0,160
91,2025-04-01,52,M,Vespertino,Producción,Ninguno,0,0,160
92,2025-04-02,24,M,Vespertino,Seguridad,Ninguno,0,0,160
93,2025-04-03,58,M,Vespertino,Mantenimiento,Ninguno,0,0,160
94,2025-04-04,47,M,Vespertino,Administración,Ninguno,0,0,160
95,2025-04-05,26,F,Vespertino,Mantenimiento,Ninguno,0,0,160
96,2025-04-06,28,F,Nocturno,Producción,Ninguno,0,0,160
97,2025-04-07,27,M,Nocturno,Administración,Ninguno,0,0,160
98,2025-04-08,31,M,Vespertino,Mantenimiento,Ninguno,0,0,160
99,2025-04-09,53,M,Matutino,Administración,Ninguno,0,0,160
100,2025-04-10,52,M,Vespertino,Producción,Ninguno,0,0,160
101,2025-04-11,42,M,Matutino,Seguridad,Ninguno,0,0,160
102,2025-04-12,43,M,Vespertino,Producción,Ninguno,0,0,160
103,2025-04-13,56,F,Vespertino,Producción,Incapacitante,1,14,160
104,2025-04-14,54,M,Nocturno,Producción,Ninguno,0,0,160
105,2025-04-15,59,M,Matutino,Producción,Ninguno,0,0,160
106,2025-04-16,41,F,Matutino,Seguridad,Incapacitante,1,9,160
107,2025-04-17,46,F,Nocturno,Seguridad,Ninguno,0,0,160
108,2025-04-18,54,M,Nocturno,Administración,Ninguno,0,0,160
109,2025-04-19,20,M,Nocturno,Mantenimiento,Ninguno,0,0,160
110,2025-04-20,54,M,Nocturno,Seguridad,Incapacitante,1,9,160
111,2025-04-21,56,M,Matutino,Seguridad,Ninguno,0,0,160
112,2025-04-22,33,M,Matutino,Mantenimiento,Ninguno,0,0,160
113,2025-04-23,22,F,Vespertino,Seguridad,Ninguno,0,0,160
114,2025-04-24,20,M,Vespertino,Producción,Ninguno,0,0,160
115,2025-04-25,24,M,Nocturno,Producción,Ninguno,0,0,160
116,2025-04-26,45,M,Nocturno,Mantenimiento,Ninguno,0,0,160
117,2025-04-27,33,M,Nocturno,Administración,Ninguno,0,0,160
118,2025-04-28,58,F,Vespertino,Administración,Ninguno,0,0,160
119,2025-04-29,46,F,Vespertino,Mantenimiento,Parcial Permanente,1,25,160
120,2025-04-30,28,M,Vespertino,Mantenimiento,Ninguno,0,0,160
121,2025-05-01,34,M,Vespertino,Producción,Ninguno,0,0,160
122,2025-05-02,34,M,Vespertino,Administración,Ninguno,0,0,160
123,2025-05-03,45,M,Vespertino,Seguridad,Ninguno,0,0,160
124,2025-05-04,32,M,Vespertino,Producción,Ninguno,0,0,160
125,2025-05-05,51,M,Nocturno,Mantenimiento,Leve,1,4,160
126,2025-05-06,58,M,Nocturno,Administración,Ninguno,0,0,160
127,2025-05-07,51,M,Nocturno,Seguridad,Ninguno,0,0,160
128,2025-05-08,23,M,Nocturno,Seguridad,Incapacitante,1,10,160
129,2025-05-09,49,M,Vespertino,Producción,Ninguno,0,0,160
130,2025-05-10,56,M,Matutino,Administración,Ninguno,0,0,160
131,2025-05-11,42,M,Vespertino,Administración,Ninguno,0,0,160
132,2025-05-12,58,M,Matutino,Mantenimiento,Leve,1,3,160
133,2025-05-13,34,F,Nocturno,Administración,Ninguno,0,0,160
134,2025-05-14,48,M,Vespertino,Administración,Ninguno,0,0,160
135,2025-05-15,55,M,Nocturno,Producción,Ninguno,0,0,160
136,2025-05-16,32,M,Vespertino,Administración,Ninguno,0,0,160
137,2025-05-17,51,M,Nocturno,Seguridad,Ninguno,0,0,160
138,2025-05-18,26,M,Matutino,Producción,Leve,1,4,160
139,2025-05-19,41,M,Matutino,Producción,Ninguno,0,0,160
140,2025-05-20,47,F,Matutino,Mantenimiento,Ninguno,0,0,160
141,2025-05-21,21,M,Vespertino,Administración,Incapacitante,1,12,160
142,2025-05-22,25,M,Matutino,Mantenimiento,Ninguno,0,0,160
143,2025-05-23,47,M,Vespertino,Seguridad,Ninguno,0,0,160
144,2025-05-24,47,M,Matutino,Producción,Ninguno,0,0,160
145,2025-05-25,39,M,Matutino,Producción,Ninguno,0,0,160
146,2025-05-26,49,F,Vespertino,Producción,Ninguno,0,0,160
147,2025-05-27,30,M,Vespertino,Seguridad,Ninguno,0,0,160
148,2025-05-28,47,F,Matutino,Seguridad,Ninguno,0,0,160
149,2025-05-29,44,F,Vespertino,Mantenimiento,Incapacitante,1,6,160
150,2025-05-30,58,M,Matutino,Mantenimiento,Ninguno,0,0,160
151,2025-05-31,52,M,Vespertino,Mantenimiento,Ninguno,0,0,160
152,2025-06-01,20,M,Nocturno,Administración,Ninguno,0,0,160
153,2025-06-02,46,M,Nocturno,Producción,Incapacitante,1,13,160
154,2025-06-03,32,M,Nocturno,Producción,Incapacitante,1,11,160
155,2025-06-04,22,M,Nocturno,Mantenimiento,Leve,1,4,160
156,2025-06-05,58,M,Nocturno,Producción,Leve,1,4,160
157,2025-06-06,25,M,Matutino,Mantenimiento,Ninguno,0,0,160
158,2025-06-07,27,F,Nocturno,Administración,Leve,1,3,160
159,2025-06-08,46,M,Nocturno,Administración,Ninguno,0,0,160
160,2025-06-09,28,F,Nocturno,Seguridad,Ninguno,0,0,160
161,2025-06-10,56,M,Nocturno,Administración,Ninguno,0,0,160
162,2025-06-11,52,M,Vespertino,Mantenimiento,Ninguno,0,0,160
163,2025-06-12,43,M,Matutino,Administración,Ninguno,0,0,160
164,2025-06-13,34,M,Nocturno,Seguridad,Ninguno,0,0,160
165,2025-06-14,51,F,Nocturno,Producción,Ninguno,0,0,160
166,2025-06-15,51,F,Nocturno,Mantenimiento,Ninguno,0,0,160
167,2025-06-16,43,F,Matutino,Producción,Ninguno,0,0,160
168,2025-06-17,31,M,Vespertino,Seguridad,Leve,1,4,160
169,2025-06-18,58,M,Matutino,Seguridad,Incapacitante,1,8,160
170,2025-06-19,21,F,Vespertino,Seguridad,Ninguno,0,0,160
171,2025-06-20,22,F,Nocturno,Producción,Incapacitante,1,10,160
172,2025-06-21,56,F,Nocturno,Producción,Ninguno,0,0,160
173,2025-06-22,36,M,Matutino,Producción,Ninguno,0,0,160
174,2025-06-23,21,M,Matutino,Producción,Ninguno,0,0,160
175,2025-06-24,21,F,Vespertino,Seguridad,Ninguno,0,0,160
176,2025-06-25,47,M,Vespertino,Seguridad,Ninguno,0,0,160
177,2025-06-26,42,F,Matutino,Mantenimiento,Ninguno,0,0,160
178,2025-06-27,56,F,Vespertino,Mantenimiento,Ninguno,0,0,160
179,2025-06-28,51,M,Matutino,Producción,Ninguno,0,0,160
180,2025-06-29,52,F,Vespertino,Administración,Incapacitante,1,9,160
181,2025-06-30,20,F,Matutino,Administración,Ninguno,0,0,160
182,2025-07-01,38,M,Matutino,Seguridad,Leve,1,3,160
183,2025-07-02,21,F,Matutino,Seguridad,Ninguno,0,0,160
184,2025-07-03,45,M,Vespertino,Seguridad,Leve,1,1,160
185,2025-07-04,51,F,Vespertino,Mantenimiento,Ninguno,0,0,160
186,2025-07-05,25,M,Vespertino,Mantenimiento,Ninguno,0,0,160
187,2025-07-06,51,F,Matutino,Seguridad,Ninguno,0,0,160
188,2025-07-07,23,M,Vespertino,Seguridad,Leve,1,2,160
189,2025-07-08,30,M,Vespertino,Seguridad,Ninguno,0,0,160
190,2025-07-09,36,F,Matutino,Administración,Ninguno,0,0,160
191,2025-07-10,57,M,Nocturno,Mantenimiento,Ninguno,0,0,160
192,2025-07-11,43,M,Matutino,Administración,Ninguno,0,0,160
193,2025-07-12,24,F,Vespertino,Administración,Ninguno,0,0,160
194,2025-07-13,53,F,Matutino,Seguridad,Ninguno,0,0,160
195,2025-07-14,25,M,Nocturno,Seguridad,Ninguno,0,0,160
196,2025-07-15,41,M,Matutino,Producción,Ninguno,0,0,160
197,2025-07-16,30,M,Vespertino,Producción,Incapacitante,1,14,160
198,2025-07-17,35,M,Nocturno,Administración,Incapacitante,1,6,160
199,2025-07-18,52,M,Vespertino,Mantenimiento,Total Permanente,1,54,160
200,2025-07-19,28,M,Nocturno,Seguridad,Ninguno,0,0,160
201,2025-07-20,25,F,Nocturno,Seguridad,Total Permanente,1,55,160
202,2025-07-21,35,F,Matutino,Administración,Incapacitante,1,13,160
203,2025-07-22,48,F,Matutino,Producción,Ninguno,0,0,160
204,2025-07-23,22,M,Vespertino,Mantenimiento,Ninguno,0,0,160
205,2025-07-24,39,M,Matutino,Producción,Ninguno,0,0,160
206,2025-07-25,55,M,Matutino,Producción,Ninguno,0,0,160
207,2025-07-26,38,M,Nocturno,Producción,Ninguno,0,0,160
208,2025-07-27,45,M,Matutino,Producción,Ninguno,0,0,160
209,2025-07-28,22,F,Nocturno,Seguridad,Incapacitante,1,5,160
210,2025-07-29,38,M,Nocturno,Seguridad,Ninguno,0,0,160
211,2025-07-30,39,M,Nocturno,Producción,Ninguno,0,0,160
212,2025-07-31,51,M,Vespertino,Mantenimiento,Ninguno,0,0,160
213,2025-08-01,26,F,Vespertino,Administración,Ninguno,0,0,160
214,2025-08-02,52,M,Vespertino,Mantenimiento,Ninguno,0,0,160
215,2025-08-03,59,M,Nocturno,Mantenimiento,Ninguno,0,0,160
216,2025-08-04,58,M,Vespertino,Mantenimiento,Ninguno,0,0,160
217,2025-08-05,37,F,Vespertino,Producción,Ninguno,0,0,160
218,2025-08-06,59,M,Matutino,Seguridad,Ninguno,0,0,160
219,2025-08-07,20,F,Vespertino,Mantenimiento,Ninguno,0,0,160
220,2025-08-08,30,F,Vespertino,Producción,Incapacitante,1,14,160
221,2025-08-09,47,M,Nocturno,Mantenimiento,Ninguno,0,0,160
222,2025-08-10,44,M,Nocturno,Mantenimiento,Parcial Permanente,1,17,160
223,2025-08-11,42,F,Nocturno,Producción,Ninguno,0,0,160
224,2025-08-12,50,M,Nocturno,Seguridad,Ninguno,0,0,160
225,2025-08-13,49,M,Nocturno,Seguridad,Ninguno,0,0,160
226,2025-08-14,54,F,Nocturno,Administración,Ninguno,0,0,160
227,2025-08-15,26,F,Vespertino,Producción,Ninguno,0,0,160
228,2025-08-16,35,F,Nocturno,Administración,Incapacitante,1,12,160
229,2025-08-17,45,F,Nocturno,Administración,Ninguno,0,0,160
230,2025-08-18,21,M,Matutino,Administración,Leve,1,2,160
231,2025-08-19,20,M,Vespertino,Seguridad,Incapacitante,1,9,160
232,2025-08-20,31,F,Vespertino,Producción,Ninguno,0,0,160
233,2025-08-21,24,M,Vespertino,Administración,Ninguno,0,0,160
234,2025-08-22,56,M,Nocturno,Producción,Ninguno,0,0,160
235,2025-08-23,51,F,Nocturno,Producción,Incapacitante,1,9,160
236,2025-08-24,28,M,Nocturno,Seguridad,Ninguno,0,0,160
237,2025-08-25,54,M,Matutino,Administración,Ninguno,0,0,160
238,2025-08-26,38,M,Nocturno,Administración,Ninguno,0,0,160
239,2025-08-27,35,M,Matutino,Producción,Ninguno,0,0,160
240,2025-08-28,22,M,Vespertino,Mantenimiento,Ninguno,0,0,160
241,2025-08-29,39,M,Nocturno,Seguridad,Ninguno,0,0,160
242,2025-08-30,43,M,Matutino,Seguridad,Ninguno,0,0,160
243,2025-08-31,52,M,Matutino,Seguridad,Ninguno,0,0,160
244,2025-09-01,43,F,Nocturno,Seguridad,Ninguno,0,0,160
245,2025-09-02,30,M,Vespertino,Administración,Ninguno,0,0,160
246,2025-09-03,27,F,Vespertino,Administración,Ninguno,0,0,160
247,2025-09-04,55,M,Vespertino,Mantenimiento,Ninguno,0,0,160
248,2025-09-05,57,M,Matutino,Seguridad,Ninguno,0,0,160
249,2025-09-06,59,F,Matutino,Seguridad,Ninguno,0,0,160
250,2025-09-07,39,M,Matutino,Producción,Ninguno,0,0,160
251,2025-09-08,54,F,Matutino,Administración,Ninguno,0,0,160
252,2025-09-09,44,M,Vespertino,Seguridad,Ninguno,0,0,160
253,2025-09-10,54,F,Nocturno,Mantenimiento,Ninguno,0,0,160
254,2025-09-11,44,M,Matutino,Mantenimiento,Ninguno,0,0,160
255,2025-09-12,48,F,Matutino,Administración,Ninguno,0,0,160
256,2025-09-13,37,M,Vespertino,Mantenimiento,Ninguno,0,0,160
257,2025-09-14,37,F,Nocturno,Mantenimiento,Ninguno,0,0,160
258,2025-09-15,21,M,Nocturno,Administración,Total Permanente,1,51,160
259,2025-09-16,54,M,Vespertino,Seguridad,Leve,1,3,160
260,2025-09-17,35,F,Vespertino,Seguridad,Ninguno,0,0,160
261,2025-09-18,55,M,Nocturno,Mantenimiento,Ninguno,0,0,160
262,2025-09-19,52,M,Matutino,Mantenimiento,Incapacitante,1,11,160
263,2025-09-20,23,M,Nocturno,Seguridad,Total Permanente,1,46,160
264,2025-09-21,52,M,Vespertino,Administración,Incapacitante,1,13,160
265,2025-09-22,33,M,Matutino,Mantenimiento,Incapacitante,1,7,160
266,2025-09-23,40,M,Matutino,Producción,Parcial Permanente,1,18,160
267,2025-09-24,39,F,Vespertino,Administración,Ninguno,0,0,160
268,2025-09-25,27,M,Vespertino,Mantenimiento,Ninguno,0,0,160
